Gen_Bus,PG_MW,QG_MVar,Qmax_MVar,Qmin_MVar,VG_PU,MBase_MVA,StatusONOFF,Pmax_MW,Pmin_MW,PC1_MW,PC2_MW,QC1MIN_MVAR,QC1MAX_MVAR,QC2MIN_MVAR,QC2MAX_MVAR,RAMP_AGC_MW_MIN,RAMP_10_MW,RAMP_30_MW,RAMP_Q_MVAR_MIN,AreaParticipationFactor,CostModel,StartupCost_USD,Shutdown_USD,No_CostParameters,CostCoeff_2,CostCoeff_1,CostCoeff_0
31,7.24825333745786,27.1871749471,300,-300,0.967,100,1,107,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1.42857143,20,0
32,14.8607476827692,21.8299443539611,42,-14,0.963,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
34,4.88477342680255,-7.93206214521685,24,-8,0.984,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
36,10.6598924967979,19.7672232030363,24,-8,0.98,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
40,49.3204203201149,28.7513432016201,300,-300,0.97,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
42,40.994353422704,22.0970214479127,300,-300,0.985,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
46,19.0389470452052,-4.14507127733809,100,-100,1.005,100,1,119,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.526315789,20,0
49,193.332131579862,19.6846441217419,210,-85,1.025,100,1,304,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0490196078,20,0
54,49.5422948064093,34.8659048793836,300,-300,0.955,100,1,148,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.208333333,20,0
55,32.1339347261985,20.0126499566125,23,-8,0.952,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
56,32.5598854771358,14.8813663729919,15,-8,0.954,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
59,149.704663370828,95.6729931196639,180,-60,0.985,100,1,255,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.064516129,20,0
61,148.414660950157,31.9618053345923,300,-100,0.995,100,1,260,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0625,20,0
62,2.49738685520943e-05,0.88554907920267,20,-20,0.998,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
65,352.235847013322,-66.9921523582626,200,-67,1.005,100,1,491,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0255754476,20,0
66,348.857993949712,-66.9998545490839,200,-67,1.05,100,1,492,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0255102041,20,0
69,453.665558514039,-111.092113931183,300,-300,1.035,100,1,805.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0193648335,20,0
70,0.000118481138016395,28.87469301983,32,-10,0.984,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
72,0.000131268507511925,-5.20105985953756,100,-100,0.98,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
73,0.000173010798181793,-2.21864590562197,100,-100,0.991,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
74,16.9307091800583,8.99985995041421,9,-6,0.958,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
76,22.8526975198989,22.9999286039242,23,-8,0.943,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
77,2.96420853628421e-05,69.9938424839155,70,-20,1.006,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
80,430.840641434725,-9.42455525648389,280,-165,1.04,100,1,577,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0209643606,20,0
85,1.40695985955047e-05,22.9996972756394,23,-8,0.985,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
87,3.62620270693511,3.53898945591377,1000,-100,1.015,100,1,104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2.5,20,0
89,501.843579444995,-24.0107864181494,300,-210,1.005,100,1,707,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0164744646,20,0
90,1.82804914235442e-05,47.2145143652768,300,-300,0.985,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
91,1.67035043190885e-05,1.55614074648106,100,-100,0.98,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
92,1.30971315361243e-05,8.99971355218892,9,-3,0.99,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
99,2.32372554120657e-05,-3.17426258583609,100,-100,1.01,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
100,231.294076563469,45.774259212387,155,-50,1.017,100,1,352,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0396825397,20,0
103,38.246179941222,11.7229522831524,40,-15,1.01,100,1,140,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.25,20,0
104,0.000369487491587087,22.8652743920214,23,-8,0.971,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
105,5.16363937953262,9.30620916194481,23,-8,0.965,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
107,29.0276852105998,3.25742781743383,200,-200,0.952,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
110,7.03401670205568,19.6728721671755,23,-8,0.973,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
111,35.2418207450168,-0.247356985781326,1000,-100,0.98,100,1,136,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.277777778,20,0
112,36.482226409821,10.2807013594117,1000,-100,0.975,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
113,0.00016250390681412,-10.2309185280191,200,-100,0.993,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
116,1.55842174821413e-05,6.41014376754054,1000,-1000,1.005,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
